totalCarNumber,avg_overhead,std_overhead,var_overhead,median_overhead,q1_overhead,q3_overhead,p9_overhead,label
500,1.9445937870650376,0.8196621186517451,0.6718459887526675,1.7843313724860879,1.3671726374984334,2.2533942299901963,2.9298292845796285,0
600,2.303256722658088,2.629085583171333,6.912091003639349,1.839123528967329,1.3808918176621994,2.3395738938981445,3.097081375326861,0
500,1.968553265346516,0.8077422307743051,0.6524475113762507,1.8126699931260732,1.3793154242813548,2.3151110588687382,2.9437973324232525,0
600,2.644963946804276,4.1239970996612705,17.007352078014573,1.9022976863979848,1.38477829711321,2.494455478740499,3.3631458531705585,1
700,2.7730896195438217,3.933926326974803,15.475776346065464,1.9534838223603885,1.4422304814767488,2.5999460971320794,3.8494782215680967,1
600,2.156707318356358,1.4779381197515902,2.1843010858148655,1.8375004793646386,1.414697519456705,2.4338234708278295,3.3555416152178394,0
500,1.9078916468652962,0.7548993634432877,0.569873048927081,1.7546312001717042,1.383383494348383,2.2275580021797174,2.7828703113436752,0
400,1.8015589139180017,0.7321346884035268,0.5360212019637293,1.6531604240352344,1.3523159166304979,2.057819110088757,2.5970322435887865,0
500,2.5230730749063124,4.278181957765505,18.302840863750287,1.781360747390563,1.3644704683039162,2.221172897963261,2.8506545164686665,1
600,2.5195107388936875,3.6353274738097077,13.21560584183567,1.8952326152026961,1.4018565436540338,2.4604691670292267,3.3142012174291753,1
700,2.6775632384670467,3.879207585904065,15.048251494535643,1.903853693729686,1.4204460036377164,2.536010496527332,3.6234459511065293,1
600,2.1271892109695925,1.4233160047021538,2.0258284492413012,1.8280546367551613,1.399769818270689,2.372097287984599,3.33324674319252,0
500,1.9063565855536297,0.8680021797487246,0.7534277840485372,1.7363195490197425,1.379657678906152,2.1748763504971897,2.7880897218463554,0
600,2.4982156733104572,3.8043781438799176,14.473293061631207,1.8527953111735063,1.4254230049819707,2.36366047192908,3.153125970932435,1
500,1.9488812616240436,0.9395418090910833,0.8827388110301456,1.7644967594077703,1.3832967063903538,2.2100401041586792,2.80437875582839,0
400,1.8334548127545556,0.6743166009211189,0.4547028782778115,1.6772419987869407,1.351682060723728,2.110323774878222,2.6537476650389733,0
500,2.4570174414892665,3.954265637890757,15.636216735003597,1.7727651767010653,1.3950898462554084,2.236904464094409,2.939485113712436,1
600,2.6473973738594685,4.109203744605924,16.88555541468335,1.924745811719918,1.4593195079757417,2.444946746459528,3.2554962320105756,1
500,1.959937259364553,0.8212899469295093,0.6745171769274763,1.78067334008725,1.410538527466925,2.261080066196997,2.955097899120203,0
600,2.6865813049466274,4.254272613871801,18.0988354731396,1.8432490858584294,1.399935255156691,2.45760174982967,3.310095714446059,1
500,1.9540625893582315,0.874094487348609,0.7640411728132276,1.730017029151802,1.4020896509896155,2.2365245212540437,2.8649132108719737,0
600,2.5248074502788205,3.8392126164289717,14.73955351414739,1.855455113265312,1.3757980520219433,2.4162958523299487,3.17293604575739,1
500,1.93841792239418,0.866382599473748,0.7506188086708887,1.7495037364210342,1.3911064014634285,2.193001226610019,2.8384193078002635,0
400,1.8090719584502293,0.6847518455059658,0.4688850899238261,1.6849419764796432,1.348150076335941,2.062404432369865,2.5391605861958837,0
500,2.5676768275955304,4.182576311856912,17.49394460450657,1.793995031904333,1.4208476222396746,2.3036747405294897,2.9872822320647034,1
400,1.784744428797227,0.5969291936036532,0.3563244621763076,1.679690993155093,1.3189010927073055,2.0775421063488713,2.5855748214336307,0
500,2.4707787084988317,4.086501564470324,16.69949503641841,1.7797118842302504,1.3776901211652517,2.2329759424967173,2.871584760908326,1
400,1.8529394003097222,1.1687622695024729,1.3660052426125708,1.691316076351042,1.390328055209703,2.073118140293055,2.576152071974296,0
500,2.4167951764405022,3.9754108349182924,15.803891306385754,1.7531057341712666,1.3817230825349711,2.213036698484186,2.7866502724360798,1
400,1.8126869711914158,0.609527536366779,0.3715238175893551,1.6996200274959956,1.3788801576754088,2.100419517991141,2.601886404987735,0
500,2.4978181721793757,4.109620667150006,16.888982027866458,1.7473753142721797,1.3939265240112113,2.238410721256399,2.9619477343783043,1
400,1.8208920036923728,0.7655739831466085,0.5861035236709636,1.68580973702622,1.364726966179531,2.1102929053298984,2.549060872789971,0
300,1.6902445785738913,0.5183831075516946,0.2687210461949518,1.5962588808221132,1.297476139471755,1.9503055772829834,2.3827244349871446,0
200,1.6272842104321412,0.46964224373386776,0.22056383709938163,1.568239028491197,1.2813950311807965,1.8620398036038606,2.2217616184603637,0
300,2.3730868572974657,4.362533250701164,19.031696363473262,1.6247134234782203,1.3091409469513229,1.9896351350528805,2.435077300331216,1
400,2.7780933315483907,5.204893854779562,27.090920039522047,1.716601155559389,1.390289052544265,2.1096661170745614,2.620532434913738,2
500,2.5008672506254452,4.137739453403132,17.120887784248847,1.8037518037518037,1.3734494511892235,2.258459346584428,2.881287102184195,1
400,1.7538875300799501,0.6261903076718996,0.3921143014222283,1.6253952404558782,1.3237445470795897,1.9934747280238372,2.453615243006766,0
300,1.7318873625681088,0.5135615950022923,0.2637455118612984,1.644868597453212,1.381096690086323,1.936267372280238,2.3376620687151686,0
200,1.6763864597629692,0.6373285089815487,0.40618762836064404,1.5404937982752223,1.3102549848318719,1.8663585650324637,2.290668596828348,0
