totalCarNumber,avg_overhead,std_overhead,var_overhead,median_overhead,q1_overhead,q3_overhead,p9_overhead,label
400,1.8084846826673422,0.6696008864740641,0.44836534716685256,1.6686752932613227,1.338104254452086,2.053137549614009,2.6180964590730493,2
200,1.6462975360034755,0.600747254454094,0.360897263734132,1.531987117703483,1.3067177753730805,1.8245941035101079,2.2106293629556593,2
300,1.740277290783163,0.5251929542330431,0.27582763917603137,1.6508002898469658,1.3462427733459024,2.0043450437758947,2.436353476089148,2
400,1.7583736849743314,0.5821801393629583,0.3389337146686735,1.6651328162374064,1.347742739208731,2.011459070174449,2.416092478114577,2
500,1.8805001611470487,0.7019129340789177,0.4926817670272752,1.748969156567021,1.3783926097746102,2.182341289554424,2.7252534161926065,2
600,2.150235998471502,1.1540047880690434,1.3317270508862777,1.880510732622848,1.4468578607131635,2.4736480416132727,3.33753241697583,2
600,2.0917680138640433,1.015221604251568,1.0306749057391276,1.8638072309061886,1.4364682185940816,2.430650785808567,3.117279433118493,2
500,1.967912893983478,0.819474242543065,0.6715380341915301,1.819199214204629,1.403674870726812,2.279619809380799,2.809131401640408,2
400,1.812957915247451,0.6273957545230753,0.3936254327935789,1.7059111616789662,1.3782180573031844,2.094968115144293,2.5093794980835398,2
300,1.6601609316550079,0.47473895580567366,0.22537707615946137,1.5813471674158726,1.307400409061574,1.9169688931866635,2.2690864543884866,2
200,1.658694354575361,0.559731751152381,0.31329963324811105,1.552636642682228,1.296842156940587,1.8949883726033934,2.2421364894364464,2
200,1.7310394417639994,1.859903113122361,3.45923959020225,1.5210323953693239,1.2836472553028828,1.8326142529653273,2.2626106724347843,0
300,2.2108625157709105,3.8629450099823313,14.922344150147392,1.614455399189094,1.3185232614373867,1.9544218282246488,2.413272577005269,1
400,2.0099059614044346,2.484054128724672,6.170524914434088,1.7038843550421203,1.3465763218468978,2.1130973308882375,2.569486995834635,0
500,1.9507015086741388,0.7853676328235024,0.6168023186867917,1.8008728071613658,1.3788792558200484,2.302767528826235,2.838957127678007,2
600,2.0580625016394145,0.9292518526279124,0.8635090056124074,1.8479954800341085,1.3893342202495358,2.41957617188719,3.1955178812658995,2
600,2.100556968295716,1.0815704337384413,1.16979460313716,1.8432486279364362,1.4034684466267975,2.3847697844911737,3.2796185833233977,2
500,1.9355871870818113,0.8095316751044717,0.6553415329974518,1.7435421098800012,1.3905530294508612,2.2220213618305102,2.884924623964689,2
400,1.8175157308865828,0.6816568386579794,0.46465604568919056,1.6944605785769262,1.3777778236019602,2.062721337778349,2.549974129736633,2
300,1.7264967123662385,0.5475563191258389,0.2998179226146375,1.6171262784269538,1.3457275060760925,1.9667016259901668,2.4034751877032825,2
