index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,989,1.739529495959637,1.3941734072765055,2.1149640038819144,2.528358671899123
1,450,1472,1.7079954725289257,1.3578066703373184,2.1373916028552014,2.6677768628952587
2,450,1476,1.728360519128904,1.3716948370958977,2.1227996969048126,2.5692608035799642
3,450,1431,1.732567678180684,1.3481199231056942,2.143099674897676,2.648338702578051
4,450,1468,1.7111925191696564,1.354125528975689,2.124112519692846,2.613790724871359
5,450,1451,1.6993278420156073,1.3505426991478222,2.1274520818993192,2.61602379444575
6,520,1583,1.8008893446215177,1.3974131765810476,2.2529987052896825,2.8989585932167254
7,520,1605,1.7544389760957233,1.413205145993082,2.176393815377955,2.818787358225107
8,520,1626,1.8077179949620712,1.4115404493057788,2.294871511899857,2.8969497279554357
9,520,1626,1.7517961209119224,1.3635570264526138,2.2159184279350876,2.852205723137951
10,520,1646,1.747333243146457,1.3599409625927417,2.1933126703099104,2.81190367971051
11,520,1669,1.722560937332246,1.3287201364550791,2.200662568647832,2.833673663547212
12,600,1698,1.8387469405809558,1.3895967389742,2.374672682471438,3.1519844129694845
13,600,1754,1.813021581583031,1.3962937352148002,2.349569586212365,3.0819911874802095
14,600,1751,1.7972832724773624,1.3873648565185785,2.2888294199479207,3.0527050917149032
15,600,1665,1.8478703730386465,1.4380600110579507,2.3530692140094986,3.2235459525703387
16,600,1706,1.8342717357318996,1.4099237881439177,2.3822122521308233,3.2643949204519247
17,600,1586,1.823385465526112,1.3865286627740896,2.326127130355429,3.114122827929734
18,350,1114,1.6645102054327094,1.360426429528815,2.064803348796569,2.519483033503524
19,350,1150,1.6203570987595985,1.3231716253637884,1.9836565191808426,2.3505163011152197
20,350,1110,1.6318181396289275,1.3425309186764633,1.9521297921882133,2.288765084164168
21,350,1094,1.6482623191753714,1.3366847869819367,2.0191278884025214,2.422259972546893
22,350,1081,1.6521121456196033,1.3668187991722296,2.021124746586448,2.471107540824138
23,350,1036,1.6312190255365642,1.3345976022130803,1.9811119344779229,2.426701753360044
