index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,935,1.8574917462569727,1.4509629667737878,2.3262268037962226,2.884754999507182
1,450,1344,1.8652329048763003,1.4845077410698966,2.317638385909778,2.863873612781644
2,450,1337,1.8847169576998362,1.47730596155285,2.3343006798405823,2.8953569045994296
3,450,1307,1.8648180346398389,1.4643283426160725,2.3065758539234142,2.85166802180266
4,450,1349,1.8572101194556452,1.5043061608236648,2.2934853775576634,2.8388874890303994
5,450,1362,1.8632721566907302,1.4998518161536842,2.305663577547282,2.902758188628078
6,520,1526,1.9747071340139724,1.5098291946181286,2.4940984499414594,3.2773798691261584
7,520,1538,1.9173880872758464,1.485804640033678,2.443795784985893,2.9779503577182314
8,520,1529,1.9140614185713212,1.5063565866732802,2.4066424072452004,3.0762489174984706
9,520,1591,1.8523374161609958,1.440286273765951,2.345672229798005,3.062885942874026
10,520,1485,1.964583152256572,1.5259224929202329,2.5225124285353897,3.2467904476821627
11,520,1541,1.9386059745694924,1.4947957747692886,2.4885541655120718,3.115040971134023
12,600,1649,1.9598620192620524,1.511218882620099,2.587791567871642,3.4943146987919658
13,600,1729,1.9120963264676492,1.466564582420598,2.492728124070816,3.2671135731895102
14,600,1641,1.9520934868481836,1.5016391139837384,2.4925382291062,3.3820636188324205
15,600,1713,1.9876997734233939,1.5268420205254913,2.5440234428867745,3.4156453751725295
16,600,1711,1.9557541871155482,1.496234501962359,2.5169371780301537,3.269911919692482
17,600,1580,1.924382147779272,1.495892833441515,2.4630004755649932,3.3232703486363007
18,350,1008,1.7890706428712577,1.4466271544987734,2.193720610424937,2.6514528034360234
19,350,1016,1.795870016929844,1.4372636636273548,2.1376547985052685,2.596078332736017
20,350,1051,1.8017945559490087,1.4691345601441168,2.2289114893417934,2.6830622047301045
21,350,1039,1.8349806545928586,1.4762227082789807,2.2182748386354363,2.7381919749028065
22,350,1022,1.7697437822674775,1.4245150179900106,2.1907489339441732,2.6252938066502134
23,350,949,1.763664800625643,1.4064550533649214,2.1764830312394503,2.64616824880488
24,200,645,1.685186064040999,1.4206272339775634,2.051640424920784,2.4808180757954585
25,200,600,1.7098757382315384,1.412024182724554,2.038236902391274,2.431056671860162
26,200,605,1.685032463368899,1.4014508812307467,2.016552189235204,2.4336810294389863
27,200,623,1.6732014541932758,1.3723449616976033,2.0126453087238856,2.393202637341212
28,200,648,1.7362477326787102,1.4508486876457014,2.070736549686496,2.4716210287258433
29,200,571,1.6314842569920756,1.3449905354243785,2.075922499389413,2.4837807636919917
30,50,141,1.7033288954272154,1.4343367375718108,2.141594739675504,2.6420860791306144
31,50,139,1.683140175274851,1.4176477392282185,1.9547780303791704,2.318914960538806
