startCarNumber,totalCarNumber,overhead,duration
445,450,2.3055726750495666,373
448,450,2.310047437204792,451
447,450,1.4199769705084695,616
446,450,3.6018794356435113,464
445,450,2.4332163677223524,375
446,450,2.188358445776917,425
448,450,2.3814732055159795,649
446,450,3.7129274481955985,431
445,450,1.5251023865798738,122
446,450,1.5511304245463546,512
447,450,1.4677067193854856,157
447,450,1.58274176693587,234
444,450,1.453905010142069,260
447,450,1.3233773595588276,74
445,450,3.3906190987922797,144
447,450,1.1215214659778963,84
446,450,2.5354427075072916,543
445,450,1.9174903428439265,264
448,450,2.347664224169682,321
445,450,2.3296898992000754,77
447,450,1.5904344913423667,175
444,450,3.6808303885734404,195
446,450,2.3765912249763694,285
446,450,1.9204824292657514,330
443,450,2.394705023076433,295
449,450,2.2468896708520525,418
449,450,1.6583852984338299,424
448,450,2.3204448146351875,690
445,450,1.8650622179509975,225
447,450,1.2525590370051431,132
445,450,2.024903246470384,596
446,450,2.731701082047335,538
449,450,3.191279842806228,386
445,450,1.9066361713919247,497
443,450,1.4863980994539463,344
445,450,1.2895528655387045,224
447,450,1.689062257680157,196
446,450,1.585018119950664,53
448,450,12.942697355568523,84
447,450,1.203898690033405,230
446,450,2.9517662906439415,284
447,450,1.3315095927891125,126
449,450,2.499345418550706,421
448,450,1.498577270490606,242
445,450,1.663040226573942,373
446,450,1.2122679160724628,269
448,450,1.7640514753374494,778
448,450,3.173488133166814,341
449,450,1.6772109727150335,523
448,450,2.6290700712170865,476
444,450,2.185749264818227,245
447,450,1.2629722962588619,234
447,450,1.0517230468100185,170
444,450,1.5475971305145677,416
448,450,1.6936506250034717,391
448,450,2.2312421801414026,739
449,450,1.1576949855970728,53
446,450,1.9062446071400523,500
449,450,3.5597579193083266,738
449,450,2.357141542335337,565
445,450,1.680176335840976,364
447,450,1.7785551995325624,163
449,450,2.306718545354119,123
446,450,1.7539520210987796,364
448,450,1.3236627435877815,222
446,450,2.408296542560455,622
447,450,1.8621412059739333,109
446,450,1.7933777839445926,345
448,450,2.160755807179132,171
448,450,1.8222478206073696,393
446,450,2.491925831940119,390
446,450,1.555181584316651,548
448,450,0.8516481911095269,126
448,450,1.9277481775574512,498
446,450,2.9853106468018473,290
446,450,1.8429821894920428,531
445,450,2.2180059292752796,339
446,450,1.6425626322514366,568
446,450,2.363024022530674,233
449,450,2.2287742421640804,311
448,450,2.498308523445507,622
444,450,0.9713495859372095,79
447,450,2.0007901771261336,333
446,450,3.12156529573611,453
444,450,1.8811159484876043,448
447,450,2.8254387353057924,360
445,450,1.9175602808666334,342
446,450,1.3730605757809304,447
447,450,1.1928996031724952,97
446,450,2.458423839239722,348
449,450,2.549152872476057,501
447,450,1.3972670886970342,303
446,450,2.071404198210904,262
445,450,2.4901065588360627,726
448,450,2.1704500342842965,315
447,450,2.2428444411378905,470
446,450,2.1646452122935274,408
447,450,1.157322773713326,309
448,450,1.6800578133503206,224
447,450,1.4968143199338406,221
446,450,2.3879367756328738,122
448,450,2.836793790433125,365
446,450,2.1517390179892137,266
449,450,1.2133669774052287,247
449,450,1.1080123149450267,167
446,450,0.9999299052584317,38
447,450,2.8897357616818637,323
448,450,2.0633021335540866,639
447,450,3.165630660248015,452
446,450,1.7835521218612094,505
445,450,1.8045453300909982,605
446,450,1.741124328935631,389
446,450,3.0865468529328073,296
444,450,1.8764711928866007,195
448,450,1.2492392420507386,311
445,450,1.8674584788549748,251
448,450,2.256807950953725,405
447,450,1.6401463539246446,427
446,450,1.1653553583414125,144
446,450,2.34556586948671,599
449,450,1.842526668436892,322
445,450,1.4484693477776742,272
445,450,1.9905834011442316,399
444,450,2.242504161272149,499
448,450,1.3799784587289052,86
448,450,1.31294265201993,140
447,450,1.9768656941715308,528
446,450,1.237668992242247,276
446,450,2.1691946501294006,598
449,450,2.9674228407250145,356
448,450,1.2833483468791291,83
448,450,2.2086469858913786,327
447,450,2.3923271730424687,613
448,450,1.3482994573094684,10
447,450,1.5585419274012153,578
446,450,2.319324412816348,439
447,450,1.655295068937319,435
444,450,1.2230913764538756,111
449,450,2.236063668629877,480
448,450,1.6316557067243682,281
446,450,2.0937407337825635,148
445,450,2.104195917130849,328
447,450,2.730972557879598,330
445,450,1.4439029276494444,620
446,450,2.1111354589072118,274
446,450,2.236949696144336,425
447,450,2.8527537220654398,299
446,450,1.4791320342199163,263
446,450,1.2909336467121533,46
446,450,2.5411075415260447,291
446,450,2.2190858728883254,572
448,450,1.4036907468973259,219
449,450,1.2665802841761857,193
447,450,1.20973668980481,577
448,450,2.3001441097051747,390
447,450,2.25597577354914,446
447,450,3.2894632672098045,401
445,450,1.0235503505218848,192
448,450,1.1454589755686015,154
449,450,1.0967533915325214,215
446,450,1.347300346929839,200
446,450,2.954036112535851,833
447,450,1.59053252857594,217
446,450,2.8380100764022838,393
448,450,1.273400839062202,142
447,450,1.8808484084327761,188
448,450,2.277709472728975,432
447,450,1.7396046418372335,74
445,450,1.5132300768749651,239
447,450,1.6353973850656631,300
448,450,1.847901819774624,372
449,450,1.579545219969656,458
446,450,1.495653255035635,274
447,450,2.0430441585040295,280
447,450,2.878921218558696,336
444,450,1.2211731502096084,113
449,450,2.5127375582095075,401
448,450,1.7159954449430623,442
448,450,1.618255941612903,575
446,450,2.51815972647077,405
444,450,2.31199548499846,408
448,450,1.0795430943370028,116
445,450,1.7418661178596166,223
448,450,3.0185138586826867,376
447,450,1.1895101535534665,165
449,450,2.238015842822148,440
444,450,2.8276898050572012,301
449,450,2.2911907984496698,218
447,450,1.4541183677479097,132
448,450,2.9603632351842073,471
449,450,1.814016512449809,256
446,450,1.3500164388098588,166
448,450,1.4398620519061431,387
