index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,837,1.7617026323357228,1.3985078278336724,2.2168067392502406,2.7616222390121203
1,450,1226,1.7639611100171924,1.4133485131667765,2.2599282952084248,2.777618395345762
2,450,1236,1.7551798735068815,1.3977028749549845,2.2171728974355696,2.7739300576547627
3,450,1217,1.752943351309399,1.3870747925760518,2.192765017265542,2.777802951030732
4,450,1222,1.7721119725075076,1.3816945300783363,2.204477248573426,2.66125581847767
5,450,1218,1.7481761512525584,1.38732413374725,2.120716945837095,2.723716682357134
6,520,1376,1.7854102067675748,1.4249371405280504,2.3148799510329043,2.9265491490002784
7,520,1363,1.8026202848503972,1.3957776729595368,2.2720952547076774,2.914061194293546
8,520,1377,1.812965035023447,1.4333321388898843,2.292977091431583,2.933152070542226
9,520,1358,1.8165966769328012,1.414031657259022,2.268568510879197,3.0138516560277937
10,520,1366,1.845521934951714,1.4492777081909363,2.2752292847735274,2.814826868621771
11,520,1360,1.8438115022629613,1.427466295587303,2.3610006105916845,2.995421388521469
12,600,1594,1.8766858308255956,1.4749471684304378,2.3913152327236507,3.1472299785123266
13,600,1560,1.8962777597532297,1.4739008761139023,2.4223816863520535,3.1766875593248045
14,600,1553,1.8852870761254774,1.4419230763222797,2.4064600152551527,3.0709848192744853
15,600,1602,1.8841945056940475,1.4190975225834717,2.380721942052339,3.258113472142149
16,600,1538,1.8436142832673248,1.4140690168636956,2.3804221561545766,3.171536546307091
17,600,1450,1.845416299646328,1.4327651250648679,2.4232168979904207,3.249082880674439
18,350,942,1.6704130393760042,1.3678482573369783,2.019947021167935,2.5252999499249924
19,350,979,1.676252012414421,1.3331982549774464,1.9919882280027337,2.3704430136149126
20,350,1005,1.6831229487276629,1.3695210242875993,2.035583032415075,2.4476623378299203
21,350,963,1.684387968942054,1.3975333906544338,2.041993335325593,2.456700307086025
22,350,965,1.6810396486050043,1.371522635232591,2.047425717020809,2.485139347605953
23,350,898,1.655349312871808,1.3763745272687937,2.0451612628594558,2.4849274258264367
24,200,629,1.5684846617604842,1.3066561112067077,1.9231812900489509,2.2690774447788247
25,200,605,1.6372337797719612,1.3691648045350313,1.916529487303502,2.2207497720118643
26,200,621,1.60852311206252,1.33778765454816,1.8658111211414952,2.1929545587880086
27,200,594,1.6228039080133134,1.3407354492828683,1.9341992805396357,2.199919902646637
28,200,612,1.5806485939788808,1.318927841348219,1.882770208145798,2.2559550391438754
