index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
56,200,669,1.5984905095999549,1.3041595070501328,1.898398788367642,2.262325789389129
57,300,815,1.588602350462832,1.3281396934856815,1.9056200696342578,2.2659934599678495
58,200,716,1.6164003002207081,1.295196425892363,1.950276451712874,2.391468710685795
59,300,915,1.5923297517890465,1.3372334964388322,1.9383332154021828,2.292892710712079
60,200,649,1.5803026967269307,1.329200316375759,1.8912309255968727,2.283447219982666
61,300,813,1.5678115992739101,1.306436779633338,1.924009252974665,2.278539850955796
62,200,699,1.5743721653821472,1.330099504295259,1.9138196474982552,2.2395481168236264
63,300,1007,1.6447025370505326,1.337143548141475,1.956510871251774,2.3590019800667488
64,400,1291,1.7014567659383661,1.3395626764480815,2.073878122598133,2.638599862947392
65,500,1402,1.7165731982089771,1.3435727152798778,2.2250649173202612,2.6698224809501543
66,400,1322,1.716069422408185,1.3763493148350043,2.092455471919646,2.5457714353914302
67,500,1469,1.7756953305982708,1.4072187218029064,2.2936380024681036,2.9807795385414084
68,600,1584,1.8901327747258532,1.4150412190889814,2.4497319442531533,3.218178264567347
69,700,1588,1.8960684301009003,1.4122086285531161,2.529439625862409,3.4697157399950993
70,600,1492,1.8035932199535656,1.3810555861244316,2.3249021917297954,3.1241354682409836
71,500,1492,1.7958321402419042,1.3947511443477196,2.2708209956045744,2.8791064582844514
72,600,1576,1.8467932121991066,1.4265867351251424,2.369617436612099,3.127397625904572
