index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,794,1.9782171988862034,1.5464991765537621,2.4150585358248655,2.8940847099869766
1,450,1134,1.9545674936251838,1.5216320503508953,2.452997901880404,3.049913298726806
2,450,1166,1.9515184548328852,1.5374961663178102,2.4282749214302624,3.011191435460999
3,450,1144,1.9206430893891937,1.5566340481365248,2.4175363282402302,2.981353585536275
4,450,1133,1.9869641118314278,1.5537963925456653,2.5057879601274182,3.020849003710149
5,450,1116,1.895591826295988,1.5075936187646868,2.4115129735078358,2.9943321737186155
6,520,1382,1.9499568053539864,1.5174068981279294,2.51712796415634,3.154467578501519
7,520,1388,1.9631570443780983,1.5232452280133677,2.4806857384330225,3.17417280766602
8,520,1393,1.978122362397145,1.5493914153681696,2.5356819270883193,3.2646272260533986
9,520,1418,1.9434973224302305,1.5167114453179018,2.543005589218947,3.2576142634886467
10,520,1377,1.9846918950367314,1.520212574351971,2.561981421423891,3.2376049386740826
11,520,1393,1.9857018750585425,1.5095708882805534,2.5704584442848506,3.316526940430896
12,600,1553,2.0352877298772047,1.5442850129448948,2.6231644085284436,3.4731336216802955
13,600,1520,2.022361428766157,1.5190056272637786,2.65086819282052,3.541636778937068
14,600,1441,2.0283579570252774,1.5300814218342933,2.6523238996154297,3.4969965314197267
15,600,1530,2.031257138544767,1.5575037009620845,2.679347929878312,3.4337032091838386
16,600,1422,2.0548358422825004,1.5857650743845566,2.7078557293570977,3.5021592982193415
17,600,1341,2.0780408219822823,1.5658784348180534,2.6721060543918016,3.5763293310463116
18,350,1038,1.8425792568850834,1.4650351081996795,2.27043828285384,2.8020088283300617
19,350,1061,1.8723200766438068,1.4971367438438634,2.347602618381059,2.911261560310702
20,350,951,1.878549476955194,1.5168964048956493,2.274341246282672,2.7773775355701105
21,350,1059,1.8551306613737595,1.5102875512840535,2.271214915728673,2.7570262285635105
22,350,1027,1.8442492185247261,1.4524406298864045,2.2985150276538704,2.765811950979677
