Fit,RUN 1,RUN 2,RUN 3,RUN 4,RUN 5
1,0.6096400545,0.6324891907,0.6062363984,0.6355229049,0.6071956862
2,0.5976013219,0.5988671904,0.6040705948,0.6256157367,0.5870233652
3,0.6651896639,0.6582427432,0.6636169689,0.6940354408,0.6639252413
4,0.6832618554,0.6894222339,0.6881453003,0.6996452627,0.664741317
5,0.6849089709,0.6934965659,0.695746601,0.7099561414,0.6830363966
6,0.6916074073,0.7038640864,0.7038290873,0.7159705766,0.6910252334
7,0.6507942452,0.6683315673,0.6620329635,0.6749416507,0.6492008806
8,0.671841673,0.6828786301,0.6807094842,0.6370380692,0.6687661371
9,0.948840553,0.9433308235,0.9512186336,0.9521296838,0.9388296439
10,0.927615587,0.9131609642,0.9356075505,0.9239789629,0.9246946402
11,0.9067052151,0.854445633,0.9249921522,0.9015269231,0.9158641713
12,0.9025510078,0.837556604,0.9172032442,0.8940410004,0.9091805539
13,0.8970811328,0.8092741401,0.9069742332,0.8864177968,0.9017037463
14,0.8812453532,0.866310548,0.8926538883,0.8744634229,0.8974223374
15,0.8794235746,0.8052632161,0.8860793828,0.8720553981,0.8930674487
16,0.8753582274,0.796890098,0.8826652986,0.8719784143,0.8928538061
