Fit,RUN 1,RUN 2,RUN 3,RUN 4,RUN 5
1,0,0,0,0,0
2,0.5976013219,0.5859104764,0.6040705948,0.6256157367,0.5941857926
3,0.6651896639,0.6582427432,0.6636169689,0.6940354408,0.6701968349
4,0.6832618554,0.6894222339,0.6924282902,0.6996452627,0.6724923835
5,0.6849089709,0.6934965659,0.695746601,0.7099561414,0.6835215361
6,0.6916074073,0.7038640864,0.7056431389,0.7159705766,0.6910322573
7,0.6507942452,0.6683315673,0.6663083972,0.6762370831,0.65258781
8,0.671841673,0.6828786301,0.6839793188,0.6806177886,0.6713511545
9,0.948840553,0.9433308235,0.9512186336,0.9521296838,0.9388296439
10,0.927615587,0.8843381648,0.9356075505,0.9186499293,0.9265841685
11,0.9067052151,0.854445633,0.9249921522,0.9015269231,0.9158641713
12,0.9025510078,0.837556604,0.9172032442,0.8940410004,0.9091805539
13,0.8970811328,0.8128706205,0.9069742332,0.8864177968,0.9017037463
14,0.7827805473,0.8719539435,0.8926538883,0.8744634229,0.8974223374
15,0.7708253616,0.7831890622,0.8860793828,0.8720553981,0.8930674487
16,0.7685236997,0.7773705197,0.8826652986,0.8719784143,0.8928538061
