Fit,RUN 1,RUN 2,RUN 3,RUN 4,RUN 5
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0.4181982189,0,0.4426319623,0.4406667537,0.4027640027
8,0.4174383575,0,0.4466773238,0.4586687619,0.4140927111
9,0.948840553,0.9433308235,0.9512186336,0.9521296838,0.9388296439
10,0.927615587,0.8843381648,0.9356075505,0.9186499293,0.9265841685
11,0.9067052151,0.8416477485,0.9249921522,0.856996706,0.9158641713
12,0.8224915382,0.8236481674,0.9172032442,0.8767654418,0.9091805539
13,0.8006375186,0.7993857032,0.9069742332,0.808887667,0.9017037463
14,0.7795139785,0.7782120047,0.8926538883,0.7848524854,0.8974223374
15,0.7708253616,0.790726534,0.8860793828,0.7692401204,0.8930674487
16,0.8753582274,0.7825817001,0.8826652986,0.7661177606,0.8928538061
