startCarNumber,totalCarNumber,overhead,duration
199,200,1.5760107169200528,287
195,200,1.5309564685217512,376
198,200,1.3027322836200237,60
198,200,1.6448801501091541,699
199,200,1.2418473751870989,137
198,200,1.587480146184971,463
199,200,3.057891769964255,358
199,200,1.2899811664989582,277
197,200,1.8054229697731001,461
198,200,2.1922517557756116,147
199,200,1.5433333391128135,478
199,200,1.6752330755287028,147
199,200,1.4550139784151976,481
198,200,1.274248977097786,127
199,200,1.0171367979643893,243
199,200,2.4457675681469015,254
197,200,2.2357805719389776,205
197,200,1.4117228031173528,438
198,200,1.535628434480786,421
196,200,1.861934648654149,461
196,200,1.4310844422210065,179
197,200,1.6231118292412203,439
199,200,1.1560914738599548,246
197,200,1.3623277094232709,651
198,200,1.6383234246790774,203
198,200,1.5571768191497808,269
198,200,2.020628264855974,230
196,200,1.6500875897542082,312
199,200,1.4832710223621397,177
197,200,2.1280694577783046,522
199,200,1.3960048700449903,199
199,200,0.98781892662641,224
196,200,1.399038470885679,198
199,200,1.9337688112307765,404
197,200,1.441536813283397,469
199,200,1.3621534189211784,97
199,200,2.437981693778309,444
198,200,1.9714929444142373,280
195,200,1.8767629092533618,385
199,200,1.0189116654863817,161
199,200,1.407729279763304,353
199,200,1.105174495231232,279
198,200,2.061067382971288,377
199,200,1.7288481227304298,441
198,200,1.6008760186383781,238
198,200,1.4958825772045818,361
198,200,1.9404046217666024,326
198,200,1.087286701609851,183
196,200,1.7365885706872726,523
199,200,2.4796166112090923,296
199,200,0.9052965566465888,187
199,200,1.297631386914781,216
199,200,1.281063269269847,171
196,200,0.9679911147583944,324
199,200,1.5461891279401925,312
198,200,1.5839960294891264,375
197,200,1.8747526858548154,451
199,200,1.4362793861924879,355
198,200,1.4872123759622164,339
198,200,1.2149750800346024,218
198,200,1.7854510208033632,419
199,200,2.077926741521259,566
199,200,2.6826843734496446,400
199,200,1.4852245480149837,105
199,200,1.923747184412028,334
196,200,1.750857673391185,419
198,200,1.608507191191622,412
195,200,1.2717522626592337,180
199,200,1.5992812893786972,353
199,200,1.4400512702363102,388
198,200,1.9687159207124874,365
199,200,1.1468203704210351,302
199,200,1.539981717445369,588
198,200,1.0173132640577953,131
199,200,2.1470469145154905,154
197,200,1.1160504033215188,287
199,200,1.482778452664963,396
198,200,1.4243726249047477,55
199,200,2.45512543219556,490
199,200,2.0133853486615054,452
199,200,2.261880948871807,372
198,200,1.8736073108117572,187
197,200,1.4698249294014203,610
199,200,1.2923465923723456,69
198,200,1.8345707376194447,284
197,200,1.3433017547377182,400
198,200,1.460234155762461,90
199,200,1.6898587491594756,553
198,200,1.6756694359280302,469
199,200,1.4509298501596697,428
197,200,1.7768417782708312,391
198,200,2.17943949101159,367
198,200,1.2917497800806987,115
197,200,1.354677738201589,321
198,200,2.117138378771087,320
197,200,1.3513146367338347,360
198,200,1.9157238485319485,470
199,200,1.1927195908200428,210
198,200,1.5300754590985737,448
198,200,2.1028785750120353,375
198,200,1.8852001979537916,552
198,200,1.0586655224298602,99
198,200,1.6556403177765524,415
199,200,1.4369157909739692,163
199,200,1.3561280466552825,333
199,200,2.1018833255853253,158
197,200,1.143067628050926,302
198,200,2.8036519745996467,241
199,200,1.3034905235152108,206
199,200,1.4422010206345683,22
198,200,1.7691344185063294,451
199,200,1.8936373219988698,468
198,200,1.3730810918648497,328
197,200,1.6128674587266212,39
197,200,1.5337062804487722,267
198,200,2.230223456454406,367
198,200,1.3032343775116175,184
198,200,1.0693151818602549,233
199,200,1.2765979751212109,55
199,200,1.3724555336271302,350
197,200,1.8517751308443904,297
197,200,1.1318513233680363,67
197,200,1.5579425359622834,401
197,200,1.5256835933977781,215
199,200,3.2210504485746845,169
198,200,1.4390225766009639,441
199,200,1.120012601887151,296
199,200,1.1227536464302477,209
199,200,1.2163965543228217,57
197,200,1.0166383454679715,125
198,200,1.3253261544833301,56
199,200,1.6622988124585771,208
198,200,1.780917317728254,484
199,200,1.1440872742926729,188
198,200,2.4903721182481897,104
197,200,2.3933103823137882,256
199,200,1.0903211117344163,162
197,200,1.177573441147276,87
198,200,1.2218154276101274,261
