startCarNumber,totalCarNumber,overhead,duration
198,200,2.326183552627184,444
198,200,1.2979533678493143,263
198,200,1.213686535476033,330
198,200,0.9842429592394535,286
196,200,1.1099120968460332,254
197,200,1.7788990728935419,579
197,200,1.4281444177130151,195
199,200,1.4913784912842118,435
197,200,2.110017845340669,90
199,200,1.6265848846058595,256
199,200,1.3594001635158655,331
197,200,1.2200764533470074,61
199,200,1.4782592489440347,229
199,200,1.0255994058568976,288
197,200,1.2608960480160583,194
196,200,1.4078380054492947,91
198,200,1.3835309834067686,187
198,200,1.1557886557886556,15
199,200,1.2967122109723939,137
198,200,1.3989712197500135,151
198,200,1.0252067184724225,259
198,200,2.0542700081273777,293
196,200,1.6419243464327984,345
197,200,1.6595430732574175,183
199,200,2.490232575299948,108
199,200,1.5162268533453769,94
199,200,2.1632294268517964,516
199,200,1.2690460358517148,280
198,200,1.2820104282277252,254
199,200,1.626205727437989,302
199,200,1.1877398851207086,378
199,200,1.7486443254109663,309
199,200,1.5324184228892237,573
198,200,1.7673973783138894,260
199,200,1.371987736069308,175
197,200,1.5424300218547706,603
199,200,1.0239562509087219,209
198,200,1.482246220706126,246
196,200,2.1506049499134043,314
198,200,2.526799937292603,254
198,200,1.2501957402278943,220
199,200,1.2793381177953436,320
198,200,1.313615457785076,348
199,200,2.2649811454698843,130
199,200,1.548948524720845,225
197,200,1.6383850958264663,376
198,200,1.8053690734763552,368
197,200,2.0615597233540517,206
194,200,2.157729650751656,168
198,200,2.1997817556503687,203
198,200,2.197259761996095,300
199,200,1.2028365129235967,153
197,200,1.3527881328679592,64
198,200,1.0319183733641628,82
197,200,1.650878194008326,213
197,200,2.3793884238999827,353
199,200,1.0948802715627666,76
199,200,1.1769304857110137,201
199,200,1.5441744963912054,324
198,200,1.6101643437969044,441
198,200,1.1676851183562276,84
198,200,1.207287589581703,199
199,200,2.2952066028908957,212
198,200,3.2259907310431664,182
199,200,1.7811119732387417,113
199,200,1.6607260032147328,433
197,200,1.5874887210631252,352
197,200,1.2733474877389928,367
199,200,2.244144452506317,187
199,200,1.521143366790027,241
197,200,1.5856564100261616,338
197,200,1.2782431959498273,136
198,200,1.111219329671242,101
198,200,2.6527835181545014,264
198,200,1.5449001290609374,429
199,200,1.6392198938932674,237
196,200,1.575350513464965,352
199,200,1.655796438514808,494
199,200,2.1532624832359835,432
199,200,1.6321790013643145,514
199,200,1.0960683958824953,65
199,200,1.513854221535303,422
197,200,1.8456278715696508,425
199,200,1.9134393980610438,212
195,200,1.5511380842780838,407
199,200,2.0147548477683057,358
198,200,1.6003731163073596,524
199,200,3.179591059103589,187
198,200,1.753025489620801,270
195,200,1.2488530228619275,148
199,200,1.1576287951594755,87
199,200,1.4732265647612017,278
199,200,2.0386176721016165,213
198,200,1.710535241970279,320
199,200,1.7199466467727518,243
197,200,1.5974920175318805,508
199,200,1.9702707599946239,271
199,200,1.4722133298185165,453
197,200,2.3485197582969146,326
197,200,1.3617528607031575,110
199,200,2.3262437561516918,198
198,200,1.1402751729881742,157
197,200,1.2524552984244373,190
197,200,2.046908401146586,349
196,200,1.3670774862013284,114
195,200,1.8205053981676584,548
198,200,1.1500890881008974,90
198,200,1.368022307400803,202
199,200,1.6607653391472148,231
199,200,1.3923227743923128,488
198,200,1.516942489876361,569
198,200,1.5759618194249227,134
199,200,1.1848621160315027,187
