index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,1024,1.6954369820612902,1.3770882911429423,2.118671176934837,2.5120413541496207
1,520,1651,1.8072008295098247,1.3970612020019368,2.2816944707913667,3.021604352130992
2,600,1655,1.7994491356698081,1.4154455595029818,2.3339888472168355,3.1306242320591773
3,350,1135,1.6337186723729824,1.3265733514230869,1.9940272777188732,2.3664409150324226
4,200,591,1.543339583698779,1.2886381558165816,1.8465194517167267,2.235079111759938
5,200,175,1.4470135498483814,1.2188517500487814,1.7612702924458858,2.0938762729115568
6,200,439,1.5198248404792112,1.2977799630550306,1.8222648457736546,2.2108849716138903
7,150,264,1.5542097176667498,1.2830935577215232,1.9238158818015192,2.929266596173921
8,500,863,1.6186295121257195,1.301237316707826,1.9856746330829063,2.483855600486785
9,500,1670,1.76582912761369,1.3501563414756919,2.224508579109789,2.872935995379338
10,620,1751,1.8120874479507632,1.3780260263168818,2.302202417865292,3.080309892107177
11,620,1650,1.8146847879555006,1.3835781752029874,2.3349404663087996,3.147823255225722
12,500,1262,1.6883055756753147,1.3419425747181386,2.091314546598319,2.585071465621423
13,300,615,1.5609876583192694,1.283695654839552,1.840907806367628,2.2643431177510602
14,100,333,1.4914428752388775,1.2870688311602276,1.7666298533388665,2.138755763685934
15,550,1180,1.745277973812939,1.3455019165769992,2.2401186894415406,2.8772281918770095
16,500,1592,1.7422327257193166,1.3578092415026097,2.2071493188528684,2.7668173607623876
17,600,1630,1.8165026043920607,1.3875530531940043,2.314025272001882,3.041004238584822
18,720,1758,1.9243541757453266,1.425855693886034,2.568827009317095,3.447676623328217
19,350,1326,1.6883592055909584,1.360159838809821,2.066650239271045,2.532272958568667
20,200,866,1.541765378746486,1.2751189942651038,1.8651512172707783,2.244176319857346
21,70,263,1.4032404689413593,1.2153251500515485,1.7063303945162587,2.177134786662995
22,500,1187,1.7474512203862453,1.3684638523632742,2.214804105578091,2.7876430072633656
23,450,878,1.8120885717096145,1.4045657000028393,2.4956884360533644,4.035925932473977
24,520,1034,1.7556637465880964,1.3590929126959477,2.4124205526758655,3.9306459722336595
25,600,1012,1.7737743439490359,1.3737827520373438,2.553002634400103,4.2799709900925675
26,350,645,1.6771401688365304,1.317090569949587,2.182510211517743,3.1023969764205854
27,200,357,1.555017151496914,1.2554339684958722,1.941857117536789,2.424944866340308
28,200,162,1.4989031370971253,1.2790766270781666,1.8738015875446026,2.3611940672242593
29,200,301,1.6000610723291928,1.3331558357816642,1.9992937554962784,2.470142722834658
