index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,954,1.7461834208287619,1.3879885148764683,2.113864484216388,2.6934319746322637
1,520,1466,1.8275130809267914,1.4261065549299983,2.3885343311267837,3.053386559728591
2,600,1404,1.842576512290652,1.40661687929784,2.3786256826010357,3.2740641536037915
3,350,1089,1.644257121935741,1.3468992392527797,1.9908185594144234,2.3744412818065594
4,200,660,1.537064429798053,1.265078907013625,1.8485511755631554,2.1891817808537937
5,50,266,1.4760723825950044,1.2299560408208055,1.8195673087599755,2.033734959351062
6,200,512,1.538899996973211,1.2960667444940004,1.8253313376121012,2.1855830681988855
7,150,296,1.4415088485154275,1.2380892842831628,1.8221386017060655,2.231971551763184
8,500,855,1.6351051482901975,1.292676460231031,2.070789683612964,2.668003914637402
9,500,1765,1.7648538466047914,1.3750170755247908,2.2422736479715994,2.82078986791639
10,620,1824,1.830860686329785,1.414633979460623,2.359536262171464,3.1180406929730298
11,620,1730,1.7638110563620075,1.3604451409993663,2.3020932533753093,2.923941744655741
12,500,1372,1.6967644081156013,1.3423270920836892,2.1110215205255276,2.615229794047205
13,300,653,1.5359523250073939,1.2721427504874574,1.8572887778679643,2.14676740903705
14,100,358,1.514965742574112,1.2905746119588373,1.7869376845623517,2.091398313145468
15,550,1108,1.7515915681793968,1.3348660688874827,2.186393575945369,2.849689767334033
16,500,1431,1.7723223272289272,1.35748699251425,2.2152591383809823,2.808861221631819
17,600,1493,1.8288983150789027,1.3798817912749528,2.3672236283811126,3.085577009048883
18,720,1626,1.9051912395731079,1.4267043845432617,2.6337244734899077,3.5523840900968597
19,350,1068,1.6798793082662775,1.3396404740947203,2.0765183653813795,2.699986569036885
20,200,607,1.6058894869283273,1.3294357078314532,1.8971877633774996,2.3399875057007034
21,70,255,1.5018233344575058,1.2699041574091594,1.7573417262814819,2.065295117924163
22,500,1301,1.729430009825902,1.3597833040932492,2.1604553486198586,2.747409405109059
23,450,1000,1.7109481784360454,1.3545537713826934,2.4281857576508763,4.208296818460987
24,520,1152,1.7769938525860969,1.402631593310944,2.475985471731449,4.506167171299929
25,600,1330,1.804158125024813,1.4284124654135948,2.3682559272864916,3.5361902020233287
26,350,823,1.6569957889952374,1.3367283933525897,2.10578083336467,2.8672098555272436
27,200,407,1.534601839137387,1.279616206225552,1.9332200614298873,2.442103240953529
28,200,188,1.5516931130437834,1.2763923084272917,1.9532981807123542,2.3934142258809588
29,200,374,1.6172095378725273,1.3213885324933319,1.9672547124161743,2.4833676846885413
30,150,202,1.5589621960157856,1.320489467068641,2.043102627587691,6.607344959798425
31,500,683,1.6672612485493075,1.3025474404418822,2.2228426309733402,2.987915344736702
32,550,1383,1.810125930620454,1.3958020829667137,2.477001492678434,3.8765526565021147
33,620,1501,1.835869540450484,1.4164236459480173,2.4717347158520315,3.7094350303083794
34,500,1334,1.751353064059324,1.3617485786427592,2.311980487648168,3.3101399947322294
35,500,902,1.6868569078633906,1.3339886959969312,2.1221013057841027,2.6549985656698447
36,300,392,1.5417411083055705,1.27779123980611,1.9448672362118868,2.7307192314701405
37,100,277,1.5334253641897544,1.27714120168522,1.8733362654851127,3.027593476936235
38,550,980,1.7645964236282565,1.3570860546996575,2.2796515296026705,3.139298475884552
39,500,1140,1.7279016746941696,1.3597851117335673,2.3042090641060406,3.2548238158806986
40,600,1309,1.7935561760236003,1.3733130843001828,2.3954892131319254,3.3090947597155322
41,720,1255,1.8465153896080373,1.3585319094379988,2.5816807733487264,4.517748473834919
42,350,905,1.6540416587284978,1.362619321806903,2.144349798672521,2.892940345542357
43,200,497,1.5275599751519173,1.240824246496458,1.9693121985717676,2.4416301917441787
44,70,174,1.4940648460704957,1.2407681899628646,1.8703715146534314,2.6878070198363044
45,500,1105,1.7353810193366956,1.383835467010012,2.2878590218634764,3.390559407057812
46,450,1126,1.760544078147984,1.399528944836221,2.362506080099262,3.445641964911624
47,520,1501,1.8134641052689415,1.4116529054942262,2.494032501796614,3.8444043170671245
48,600,1355,1.783354033871451,1.3821193622073138,2.327218053284227,3.4725350040605267
49,350,716,1.6559481603648614,1.3232191298631797,2.100911928002077,2.8333452939762758
50,200,345,1.5744989558085898,1.2795262136614733,1.9983972941779835,2.5400457152912708
51,200,295,1.5003684465150904,1.266351366002797,1.854975067895846,2.375994315768957
52,200,383,1.6037205621051995,1.2981784423510339,2.0042404474391127,2.7761949699249597
53,150,254,1.6431069627897372,1.3224136228312207,2.129879542091476,25.112448990886307
54,500,814,1.6871253010011549,1.3662232456437144,2.1810264716446373,2.9066769126911103
55,550,1321,1.7919646750347178,1.3899408043317996,2.4059075262684178,3.6322790069748914
56,620,1339,1.7728297085568827,1.3970134974051116,2.4049178609980983,4.043978447093518
57,500,1219,1.7169561078265612,1.343736556906605,2.2807669812830405,3.7687455654583197
58,300,1028,1.6710771480019115,1.3125221071243935,2.167598768908667,2.7940620301033565
59,300,481,1.5843614754154804,1.291198432434644,1.9585714708860007,2.479069928166543
60,100,269,1.5338982108990737,1.273740936907046,1.9171420393498637,2.7978294748025805
61,550,1253,1.7617829869145583,1.3938766336734436,2.370408847280929,3.21372254186803
62,500,1399,1.7097633160134769,1.3551706912590977,2.191121642989062,3.0310121508301218
63,600,1469,1.758266242356851,1.382766616965285,2.35346135782655,3.638313085795946
64,720,1608,1.8387702491466165,1.4120212268355283,2.4698274295134075,4.093751287603933
65,350,970,1.6447252406735204,1.3495466282924533,2.167479858823924,2.7807313102243576
66,200,499,1.5864343617968393,1.325426857117137,1.956539724463783,2.4658341569744535
67,70,244,1.5295692681641975,1.256360192836496,1.902125082992686,2.6819045135383193
68,500,1028,1.8029634136605557,1.3887608335077686,2.4097545354658974,3.3414290571172858
69,450,1049,1.7637549147535814,1.3678183511201678,2.332273116064143,3.3884794276000503
70,520,1236,1.7674454964221684,1.3885420334732113,2.392464889538086,3.6486975147695277
71,600,1107,1.7785335069001214,1.3821250840213497,2.3409028502296554,3.6538618126022753
72,350,724,1.6211184812597155,1.3072649452989866,2.089155087991912,2.7012238630446754
73,200,292,1.580046898711519,1.311045015119255,1.8963177477277577,2.685371805009579
74,200,253,1.5567846073891067,1.2731607557680114,1.932537486804949,2.505051851723947
75,200,307,1.5303546991924284,1.274454737717793,1.8659270307545108,2.5010753614947747
76,150,325,1.5742260082011674,1.282830802943705,2.008831437114215,4.773974865252521
77,500,862,1.707399977599546,1.3496998283182122,2.124552585276316,2.9443120875408835
78,550,1441,1.7347709588277966,1.3591108864227528,2.334295329884877,3.4420909729038702
79,620,1436,1.8245578530591642,1.4159565488853036,2.4297267830165254,3.8132848223994023
80,500,1275,1.7792037603166264,1.3908376904050006,2.323109410861945,3.3679310189114
81,300,885,1.7018506819887094,1.3782118150037996,2.167064390750241,2.9387682026731747
82,100,413,1.6136307515757444,1.2874696553366254,2.0038522183685337,3.147671302588069
83,100,349,1.5355312108234316,1.2748071341277067,1.8744084393743294,2.4369050194003488
84,550,1156,1.755383303662292,1.3543631937711542,2.3008730242072213,3.3925520521027686
85,500,1277,1.790737909342645,1.4017828722944752,2.3345344963040975,3.310858967782523
86,600,1340,1.8307636280214223,1.3862649697908396,2.3911935221291896,3.628856622089162
87,720,1486,1.7877452107706329,1.369447771918013,2.4142163355278314,3.991497600522066
88,350,903,1.7192909137692638,1.3555655726468951,2.18989408590444,2.900801325677787
89,200,598,1.5702794924504309,1.2953098740212443,1.9141728384913246,2.405555814188876
90,70,353,1.5499371445424288,1.2496126464199466,1.9571285266480256,2.7426518470345447
91,500,1130,1.7779453197551804,1.391827786945146,2.41294665308646,3.5537316583121212
92,450,1131,1.7201158394659013,1.3840579353476399,2.306239899928818,3.6664040292728357
93,520,1325,1.7775188724493725,1.390731196915993,2.5617307311038915,4.039360863174847
94,600,1191,1.7527974686599674,1.3857061862354048,2.2547020477749724,3.2876141026355503
95,350,776,1.6042652989321171,1.2842093745072145,2.003561525640496,2.560466106750316
96,200,357,1.5831233198434,1.2969674582866297,1.9548200840041448,2.687411574914067
97,200,294,1.6092729426067116,1.3012690610557152,1.939235115932447,2.509300351783314
98,200,306,1.5922981293375884,1.3017673070170424,1.937998652696625,2.4052797734733877
99,150,309,1.5648060914705118,1.2997098261285278,2.017219633992984,4.814633758906448
100,500,904,1.7306728626562053,1.3747177028176831,2.2348100589215303,3.1317082436262824
101,550,1390,1.8267982800861244,1.42659401344021,2.4230295744328494,3.9177314226690716
102,620,1526,1.8205276986978718,1.4115868103594402,2.472907476842135,4.354754813223185
103,500,1249,1.794648564182708,1.4071266049246391,2.4154447373823995,3.4482934297024137
104,300,875,1.6836107204931858,1.3576330276009405,2.1681841574903853,2.8003831041042577
105,100,329,1.6103326176695907,1.3247641728370363,2.0749882206253765,2.5675144704498303
106,100,223,1.5620136266987545,1.3072223343188911,2.0063407274026304,2.7180239870203735
107,550,1183,1.8023944129366067,1.3661414969729198,2.4731070292650754,3.5245843926809637
108,500,1144,1.7723884799061551,1.3540878835951138,2.3642739646985076,3.2606984170160485
109,600,1207,1.8117209474311626,1.4106460152207627,2.423471038227492,3.673299015421242
110,720,1212,1.8649458470577094,1.4123253848828976,2.540205333646535,4.217192517988839
