totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead,label
500,1151,1.7481573099817014,1.3909825502375366,2.182068937907144,2.7213644290910644,1
400,1048,1.672560327346913,1.3266142601138278,2.025657666826017,2.5300427777503245,2
500,1145,1.7675301112605668,1.3479566100484341,2.27254903938708,2.916471394229797,1
600,1279,1.795116699713932,1.3944954609297118,2.345261258792482,3.1399344614418503,0
700,1329,1.9066287020642738,1.428425670849913,2.4812402756716336,3.344745576151011,0
600,1234,1.8604525888435024,1.4200397106128646,2.4147344091792218,3.2189664626727845,0
700,1355,1.855079449124808,1.4149142734727793,2.438020168357353,3.3712202187465996,0
800,1364,1.9621807942341927,1.4420270388690049,2.6061619889953933,3.8742052927584156,0
700,1300,1.867929769667187,1.4427024156682968,2.4764237766740638,3.4663309810163367,0
600,1221,1.727821927411077,1.3507442871466864,2.277637846990641,3.2011427643248913,0
500,1133,1.7874272845284414,1.3949741978116392,2.2171663593482633,2.8826068211192686,1
600,1254,1.8643895066648744,1.4386384843581075,2.445148456888042,3.175838591533757,0
700,1354,1.898076123097392,1.395074279944056,2.586476482039429,3.4846941001302802,0
800,1384,1.9664234402097174,1.4665730156240093,2.654032392427088,3.8578479029749624,0
700,1381,1.875120095026875,1.4174160677939731,2.512659660916496,3.4572255867625605,0
800,1407,1.9500713613801681,1.417344219244272,2.7014248050232896,3.8405867074559485,0
700,1336,1.8613609256188384,1.3732506214962865,2.3890197970286695,3.3252584258436517,0
600,1270,1.7979391569139747,1.3794096074101894,2.274033470079668,2.9531167718065063,1
500,1190,1.7824169134343304,1.3775963479683102,2.220478592766449,2.8651730902759662,1
600,1207,1.8238994243086413,1.4079300171843536,2.3544349894758927,3.1255073483915603,0
500,1188,1.8066186288682093,1.3931640956163314,2.2846358631557795,2.9256934247119135,1
600,1409,1.8280541942436548,1.3737594585196022,2.325357793323392,3.0234443539796625,1
500,1098,1.777885306374983,1.3835297735497156,2.2921926318782684,2.8467761499302204,1
400,936,1.686267946967005,1.3527971353351131,2.0279631378662013,2.4259983392666813,2
300,792,1.6261289546329827,1.3533646187176367,1.9498901685029595,2.311318894492565,2
400,999,1.6792627298827425,1.360217816171076,2.098744575023964,2.645423513962945,1
500,1112,1.7395214549714026,1.4092872420932017,2.16153314540666,2.7018236539478973,1
400,1013,1.7012208279769636,1.3724130938342511,2.1156086333569037,2.6461721817249537,1
500,1103,1.776767953438799,1.3671273614065027,2.1808575682788036,2.71138594915963,1
400,1027,1.6783609071405126,1.3195259792455851,2.065855341731125,2.4710118560138703,2
500,1090,1.7743979653802384,1.371093379960647,2.2177251311564485,2.7642310719619405,1
400,1071,1.6704638199876372,1.3294305353742097,2.100288377935687,2.5826792198374116,1
500,1070,1.754883118968248,1.3946237159925534,2.206238219539174,2.8469780627704186,1
400,890,1.6729795049991545,1.3729406821645493,2.060088735169759,2.4454794715423893,2
300,695,1.6691025923872311,1.3592582968284144,2.0095008251069517,2.3661511419465597,2
200,651,1.6014570819819076,1.3566050360846766,1.9548484898251868,2.364985989161216,2
300,915,1.6422379375920113,1.3256306546300554,2.022683115700392,2.5558286851914644,1
400,1115,1.718478582483093,1.3634538203330306,2.141838100470401,2.654687020081798,1
500,1221,1.7691674654382945,1.3914928266703064,2.2089596697408482,2.7851022280415787,1
400,1123,1.6746403322238326,1.3358207630167407,2.1067797569212594,2.5821620354773938,1
500,1127,1.7329519964513107,1.3656821737054083,2.166822384315876,2.731124484893407,1
400,996,1.6446459049835538,1.3482438136352157,2.003264590110507,2.431577074295087,2
300,911,1.640804522834715,1.347998378761696,2.0206808411001367,2.4334671302674313,2
400,1135,1.7317277331655914,1.3878632868286274,2.1508185433979206,2.732921951177711,1
500,1178,1.7308385914272137,1.3704671670941164,2.129290694126679,2.6963156956354406,1
400,1129,1.7133490259060735,1.3477198934172767,2.13291637033097,2.6216630964358805,1
500,1183,1.766403973008632,1.3531356483963695,2.2484115801036917,2.874058464194034,1
600,1325,1.8789782781591655,1.41021252096659,2.441597724737759,3.2118976381758855,0
700,1328,1.9491036807656326,1.4202007290551537,2.580185129809395,3.6932457783020727,0
800,1247,1.8945276512219948,1.4234538186284518,2.495021241166996,3.7602504919056114,0
700,1299,1.818137308987664,1.3815987169499522,2.3889660734605243,3.280608102829805,0
600,1293,1.8357455574084,1.389147269599423,2.414116209916211,3.2037287188506904,0
700,1317,1.9521489415000997,1.4352554311363956,2.6143079883141493,3.6673899065404085,0
800,1413,1.8999734475161218,1.4042397555450896,2.5672914112138256,3.762492351167821,0
700,1266,1.884077820403717,1.3948910447260967,2.3626084261683733,3.3285863252743138,0
600,1208,1.7901418567313025,1.382978242461083,2.2956565482318783,3.0113187533337937,1
500,1246,1.7648583130012834,1.3674779806740172,2.214889818115397,2.846261880112907,1
600,1334,1.9026827566111735,1.4432002359073475,2.4963405877967464,3.342476598539336,0
700,1297,1.9174751385731823,1.437737934100458,2.493491102293022,3.5608636921896304,0
600,1345,1.8926072825011384,1.4024483664268155,2.4887502629770526,3.4275120143583986,0
700,1332,1.8806378872702476,1.4337963148529846,2.503511823985828,3.3741476157541617,0
600,1248,1.8252170357913915,1.415286672761954,2.322859149743437,3.044345253114133,1
500,1108,1.741858978064673,1.3929949007959135,2.1666763664328066,2.7387506294713226,1
400,1115,1.6898719942748621,1.358005456763926,2.118448760605956,2.638683581998877,1
500,1127,1.7460907083723398,1.3727871917312826,2.190082976550231,2.7890985561249866,1
400,977,1.662802204009507,1.363977440771966,2.039041932977682,2.468291652891917,2
300,940,1.6268672947373903,1.3357206730720859,1.987084258330683,2.4662238643911265,2
400,1088,1.736485986048149,1.386272286136652,2.13528299199918,2.6368444774299915,1
500,1274,1.8012081425297002,1.3730427958705826,2.346896169807318,2.981023129045809,1
600,1266,1.8153944010210912,1.3806885739647947,2.3397689792326086,3.0863437758546066,0
500,1251,1.7397870543264518,1.3670222863117936,2.2861001960205005,2.852281460767023,1
700,1329,1.9247542295548237,1.427396538579104,2.532148312876492,3.3883452343092095,0
700,1397,1.8815811631964745,1.403583498874275,2.5190696188286417,3.5076577983386876,0
800,1431,1.9170415292182486,1.4372301451657274,2.6231279421445786,3.6301787771922025,0
900,612,2.1275283204715425,1.5395027334961444,3.123600654431244,4.724446883535202,0
700,580,1.8520289077101921,1.4403338564855366,2.411569519691585,3.6676917199939028,0
600,1172,1.835744236840821,1.434637791146263,2.3721282841429856,3.1703454619232945,0
500,1169,1.8266906678897827,1.3954767170462892,2.3124457811957244,3.0121405535474564,1
500,1144,1.7096920110903693,1.327958667559954,2.1844189642485565,2.76144496498639,1
500,1146,1.7128120381111922,1.3635195384352947,2.1033739778215756,2.7307893988027923,1
600,1273,1.8299682992832003,1.4203399493766102,2.358550082158253,3.0038567762662596,1
700,1353,1.8793003664493575,1.436431040103323,2.4698820329256312,3.270160452598848,0
800,1239,1.9231869158059012,1.4381240070285464,2.564310532794556,3.6579670295807665,0
700,1152,1.8754146550016735,1.4422332411459948,2.4711106982890763,3.6111331088568095,0
600,1273,1.826692651253379,1.4238339277330212,2.3917726020440675,3.1601109960047573,0
500,1254,1.7531072396520044,1.367885799856934,2.225532774139325,2.76260628722937,1
400,1103,1.697042149488283,1.3599581121586524,2.1230955547209436,2.6992571695426744,1
300,928,1.642102658085638,1.3101370561207262,1.9621033174699525,2.4156193536265493,2
400,971,1.6501532450238356,1.316745324222997,1.9785539143724735,2.3686818053327787,2
400,970,1.6636318951592535,1.3724767772643216,2.014341610505035,2.3580062136577906,2
300,668,1.6018044806936986,1.3248150580742213,1.9330314355710774,2.3195107350134903,2
300,734,1.6215708447650363,1.3367316534098643,1.9737856344462688,2.3461232822386777,2
400,1025,1.66582857158531,1.3517311642662695,2.032426226871963,2.5775724287402655,1
500,1173,1.6963368544050774,1.326949854190271,2.1303964289827935,2.6090956294823093,1
600,1272,1.7951137855838506,1.4038129111236153,2.322453276548012,3.0191102571709867,1
700,1356,1.8217674456127924,1.3896887001276073,2.4476515793139355,3.2917790099451887,0
800,1423,1.9565290444495138,1.4425227491423573,2.6594184192128836,3.781173218762467,0
700,1399,1.9018282527794088,1.4259436034358632,2.525609867963389,3.698348433552376,0
600,1243,1.8346225502738083,1.4288946658424213,2.347515775163968,3.3703057349008376,0
700,1383,1.8700114468227962,1.3966057110346486,2.4617588822686933,3.3335790329217176,0
600,1361,1.8528196619172577,1.4165877714726764,2.3986601343407825,3.134592697295757,0
