totalCarNumber,avg_overhead,std_overhead,var_overhead,median_overhead,q1_overhead,q3_overhead,p9_overhead,duration,label
500,1.991407673494501,0.7873381455743982,0.6199013554765322,1.8162250641785531,1.4163238464023613,2.306811831020839,3.009143080503371,332.23837902264603,5
600,2.340625704127809,2.7016820679317948,7.2990859961842185,1.8598931681387934,1.4479782983909586,2.444990521418439,3.271676677490685,412.0,1
500,2.007799724867553,1.198952007818738,1.4374859170525829,1.7778765288265417,1.3892592323087758,2.2601058146585378,2.938828569789691,340.30350997935307,5
600,2.38689619765843,3.0908594868644497,9.553412367539968,1.9126414787390689,1.4512432447796295,2.420891813541006,3.2141408426538445,537.3044619422573,1
500,2.0033025075967617,0.9416509550305785,0.8867065211100005,1.825221072942912,1.3988938028454112,2.2808440476574656,2.9654119229779705,343.7068214804064,5
400,1.8259833046940548,0.6256737208791733,0.3914676049987896,1.7244760925697982,1.38486422782705,2.090144372588052,2.55923736439318,313.8479184367035,5
300,1.8789918229312095,2.0634756988794374,4.257931959865982,1.6463171222999038,1.3444277610847395,2.019653545534533,2.4243330247734134,470.58,3
400,2.401311557581753,4.037106471569345,16.298228662787086,1.7318974736025095,1.3890396741008233,2.0812021153696936,2.6987509946116157,1060.409708737864,6
500,2.3509043244528236,3.4350161631851654,11.799336041343336,1.8029553963362495,1.3949473769350038,2.280472068691722,2.9911952517065017,932.5211830535571,2
600,2.298426518149178,2.590850114173622,6.71250431411347,1.8805528586605673,1.4220051086186611,2.435848452567232,3.342150690900498,697.9530447542186,1
500,1.9512979870725764,0.8408234936268435,0.7069841474348505,1.7640931733446736,1.3675974055619307,2.2871906131569886,2.923430584043794,346.9050683829445,5
400,1.9991514168601094,2.3422747431445443,5.486250972372842,1.707571477455116,1.3665150694674786,2.1042062967151125,2.5838753961651584,702.289156626506,3
500,2.233172924413967,2.850267593087615,8.124025352205466,1.8200925343475585,1.4016901109128146,2.303238094894243,2.9842142988738,864.8523274478331,1
400,1.8000154822864085,0.6737031081271962,0.4538758779002447,1.6974572009100848,1.3828539088164635,2.0561576645689366,2.446031704909414,319.9223394055609,5
300,1.7443324082933445,0.5801442469266872,0.33656734724213305,1.6620370903853323,1.3472942348676757,2.020366264419823,2.387780352959837,305.50657894736844,5
200,2.420346319912438,4.632109738414763,21.456440628716884,1.5997814327367457,1.3067048181653973,1.9123489769094633,2.3675399139732938,2461.3480475382003,4
300,1.962076432639298,2.77960797795779,7.726220511126594,1.616453233034855,1.3327720462714288,1.994885734076803,2.351554838213433,1050.7941176470588,1
200,2.410626573985593,4.543137671920224,20.640099906020712,1.6062081016169865,1.3223777593712334,1.9147754031729391,2.3470768760434515,2619.299674267101,4
300,2.255078580028211,4.013727293635406,16.110006787673804,1.6128285844133574,1.3194725977168364,1.9530775666947418,2.3935169856668606,2170.70303030303,6
400,1.9773205620577807,2.2537391001851512,5.079339931703375,1.6990851830253426,1.3539171394662353,2.080041125140324,2.547890309928886,854.6139344262295,3
300,1.695823563126015,0.5184032606466907,0.2687419406491208,1.6343301271343111,1.2927320304370604,1.9354954510512163,2.3283337178323382,288.4797086368366,5
200,2.336686551455098,4.396460938360263,19.328868782527604,1.5984023527438387,1.3091772000400832,1.927607250793601,2.331632351525261,2974.3867595818815,4
300,1.9654748730688505,2.707610505751009,7.331154650853235,1.6379149207112322,1.330875334741727,1.9874217601516309,2.4062804228428383,1277.685968819599,1
200,2.357489555558646,4.374710514707282,19.138092087490445,1.587486718415825,1.334404246980168,1.9050791360030002,2.3488508369200667,3181.360824742268,4
300,1.710470440663253,0.4875922847159908,0.23774623611455986,1.6136718374872205,1.3418736179665882,1.985812381459054,2.308658483173484,303.13192612137203,5
200,2.2564265836131603,4.316786013690446,18.634641487993452,1.5267819272792211,1.2769525086771456,1.813047661759354,2.252232709550639,3326.6989966555184,4
300,2.145720347064341,3.6244565632858246,13.136685379145689,1.5809570627633898,1.3250841750841749,1.9448731289625305,2.423914480764151,2489.3232205367563,2
400,2.25981504372358,3.7380587758224753,13.973083411503422,1.6708525223809358,1.343026000242964,2.0935051142683974,2.5826714679705445,2730.023350253807,2
500,2.028764184251242,1.643239979548985,2.7002376303881483,1.8064849333383706,1.3759927512066823,2.250961905031527,2.877841628170716,704.2859603789836,3
400,1.8200069354828288,0.7331162859144678,0.5374594886730236,1.6939685469580907,1.3860571393650931,2.0693031634595433,2.5211620810282884,318.0444444444444,5
300,1.7057705270230232,0.5349449301826662,0.2861660783281376,1.6245049199646702,1.3354415562567805,1.9563268295643665,2.3665635100614106,303.5135834411384,5
200,2.629694692375889,5.288779046965442,27.971183807620694,1.550328241202758,1.2684637516732327,1.8899810817966325,2.343125045055409,5979.928682170543,0
300,1.7246534411620404,0.6843003041689754,0.4682669062857522,1.6274224154204149,1.3493951597599154,1.9497233698200318,2.307193377481196,294.78212290502796,5
200,2.546587978173154,4.974220734830293,24.74287191881562,1.5816385691745702,1.3055615836480685,1.91727446494062,2.4129729287814747,5353.685534591195,0
300,2.130318954940233,3.51972681259484,12.388476835299034,1.6289504494720979,1.3199997958806389,1.966404549397587,2.342399669157362,2984.8144895718992,2
400,1.793604942733373,0.6604157956517481,0.4361490231463315,1.6725200226197372,1.3362631761819077,2.0719412945049585,2.5382826962116356,308.72131147540983,5
300,2.2501009401763485,3.924480323153624,15.401545806819973,1.6539107436828764,1.3374024403475975,1.9889803952087297,2.406441843860049,3861.7459807073956,6
400,2.24558146785297,3.4170307983750474,11.676099477043614,1.763986488141669,1.4005410638583249,2.1513572709279702,2.6282272859933107,3023.9225289403385,2
500,2.3487872943454113,3.550033315305945,12.60273653978212,1.7876840755175643,1.4061725062958157,2.218890485004223,2.851737439328458,3347.99704797048,2
600,2.022188797420149,0.9290834677606324,0.8631960900661221,1.825744358451959,1.4014405865052877,2.329207440888948,3.075133268744451,360.44322092222984,5
